Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
380,Matt Pettinger,2001,2008,7,334,52,47,99,-44,169,33,11,8,7,32,12,3,514,10.1,4483,13:25
381,Robert Picard,1978,1980,3,230,42,114,156,-41,308,27,15,0,7,62,51,1,625,6.7,,
382,Brian Pinho,2021,2021,1,2,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,16,7:49
383,Michal Pivonka,1987,1999,13,825,181,418,599,18,476,113,56,12,27,270,138,10,1468,12.3,475,13:12
384,Steve Poapst,1996,1999,2,25,1,0,1,-9,8,1,0,0,1,0,0,0,13,7.7,274,12:26
385,Harvie Pocza,1980,1982,2,3,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,,
386,Andrej Podkonicky,2004,2004,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,7,3:34
387,Greg Polis,1979,1980,2,47,13,11,24,-3,25,7,6,0,1,11,0,0,76,17.1,,
388,Brian Pothier,2007,2010,4,160,13,43,56,6,78,9,4,0,3,25,18,0,248,5.2,3327,20:48
389,Tom Poti,2008,2013,5,230,11,64,75,32,126,9,2,0,1,47,16,1,244,4.5,4894,21:17
390,Dave Poulin,1994,1995,2,92,10,24,34,1,62,7,0,3,0,23,0,1,94,10.6,,
391,Jean Pronovost,1981,1982,2,90,23,38,61,-17,65,16,6,1,4,19,16,3,203,11.3,,
392,John Purves,1991,1991,1,7,1,0,1,-3,0,1,0,0,1,0,0,0,8,12.5,,
393,Nelson Pyatt,1975,1976,2,93,32,27,59,-70,35,27,5,0,1,17,10,0,184,17.4,,
394,Joel Quenneville,1991,1991,1,9,1,0,1,-8,0,1,0,0,0,0,0,0,3,33.3,,
395,Errol Rausse,1980,1982,3,31,7,3,10,3,0,7,0,0,0,3,0,0,27,25.9,,
396,Joel Rechlicz,2012,2012,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,,6,1:59
397,Joe Reekie,1994,2002,9,515,11,64,75,86,688,11,0,0,2,59,1,4,436,2.5,4598,18:51
